group_column,group_value,n_obs,auroc,log_loss,brier_score,expected_calibration_error,predicted_positive_rate,balanced_accuracy,f1,model_name,feature_set,task,target,dataset_split,evaluation_slice,rmse,mae
starting_hash,R,60,0.5177142857142858,0.695422345385062,0.2496221266386422,0.08859527774075283,0.8333333333333334,0.49428571428571433,0.6823529411764706,logistic_regression,context_plus_motion,classification,success,test,tracking_only,,
box_bucket,standard_box,103,0.5371647509578545,0.6926982424056367,0.2488914933120359,0.060783062280631094,0.8349514563106796,0.5310344827586206,0.6944444444444444,logistic_regression,context_plus_motion,classification,success,test,tracking_only,,
down_bucket,early_down,14162,0.5297053780337798,0.839698749431115,0.30909313104876257,0.23799744922417296,0.010450501341618415,0.5002798478989015,0.021025345622119815,gradient_boosting,context_plus_motion,classification,success,test,all,,
down_bucket,late_down,5954,0.5852223180468634,0.7564031449463581,0.27039978187692304,0.18472117456697307,0.00705408128988915,0.5024425330258357,0.019583843329253364,gradient_boosting,context_plus_motion,classification,success,test,all,,
distance_bucket,long,13759,0.551042759756519,0.808237907424572,0.29360165345102734,0.21576387831391405,0.006904571553165201,0.5010586693785477,0.015929778933680104,gradient_boosting,context_plus_motion,classification,success,test,all,,
distance_bucket,medium,4319,0.5320350342857634,0.8238983410800397,0.3022466928219563,0.2281244631154125,0.008798332947441537,0.49955938277022083,0.016361886429258902,gradient_boosting,context_plus_motion,classification,success,test,all,,
distance_bucket,short,2038,0.5323094988548581,0.8422353832554896,0.31514651966489676,0.2531560860244307,0.027968596663395486,0.5000106750514344,0.05321888412017167,gradient_boosting,context_plus_motion,classification,success,test,all,,
field_zone,backed_up,11014,0.5632762288289535,0.8226286960975163,0.3008436381879848,0.23162398468348747,0.01071363718903214,0.49978059070889613,0.020475178674908247,gradient_boosting,context_plus_motion,classification,success,test,all,,
field_zone,red_zone,2754,0.5511630289211205,0.7654312178708598,0.2762830571820817,0.17873704391308373,0.005809731299927378,0.5009799176500621,0.013710368466152529,gradient_boosting,context_plus_motion,classification,success,test,all,,
field_zone,scoring_range,6348,0.5410298105949521,0.8234102050440573,0.301348748066455,0.22620190875438415,0.008821676118462508,0.5030276128770139,0.02359882005899705,gradient_boosting,context_plus_motion,classification,success,test,all,,
pressure_bucket,standard_rush,20115,0.5529720962275033,0.8150054023411059,0.2976236070403331,0.2220964225925917,0.009445687298036291,0.501007693873042,0.02065147966787311,gradient_boosting,context_plus_motion,classification,success,test,all,,
score_state,leading_big,2264,0.5525239149880279,0.8517230293954287,0.3122970209796414,0.2520796555744287,0.01060070671378092,0.5003468600958553,0.021447721179624665,gradient_boosting,context_plus_motion,classification,success,test,all,,
score_state,one_score,12762,0.5543330006061096,0.805502487813075,0.2948358496725228,0.21540670632313363,0.00901112678263595,0.5011409062207727,0.02009713615809747,gradient_boosting,context_plus_motion,classification,success,test,all,,
score_state,trailing_big,5090,0.5486011860438049,0.8226550739552759,0.29815356663833603,0.2261755424746029,0.010019646365422397,0.5009617755239706,0.021691973969631236,gradient_boosting,context_plus_motion,classification,success,test,all,,
qb_location,0,225,0.6137405183312262,0.8401057141411671,0.3121544567038977,0.27061105311403044,0.0,0.5,0.0,gradient_boosting,context_plus_motion,classification,success,test,all,,
qb_location,P,666,0.5355992892769205,0.8311871953691338,0.30800261023633524,0.2382904628338174,0.018018018018018018,0.497213027517971,0.02932551319648094,gradient_boosting,context_plus_motion,classification,success,test,all,,
qb_location,S,16342,0.5520710827426398,0.8099527226477383,0.29475366064523334,0.21692394561100717,0.0090564190429568,0.5014507788528819,0.020894722743102064,gradient_boosting,context_plus_motion,classification,success,test,all,,
qb_location,U,2883,0.5386902269693181,0.8382227412927923,0.31047811646465306,0.24477502665641254,0.01040582726326743,0.4992737867329643,0.018970189701897018,gradient_boosting,context_plus_motion,classification,success,test,all,,
starting_hash,0,227,0.6192749573047663,0.839393319709432,0.3119269547616705,0.2712765514847055,0.0,0.5,0.0,gradient_boosting,context_plus_motion,classification,success,test,all,,
starting_hash,L,9159,0.5552656306562748,0.815959383759818,0.2983985910542643,0.22438929964834325,0.00982640026203734,0.499686175723936,0.018578727357176035,gradient_boosting,context_plus_motion,classification,success,test,all,,
starting_hash,M,2114,0.5348267811968732,0.8132863744250122,0.2959149749800436,0.21617025450301994,0.007095553453169348,0.504048595802909,0.022727272727272728,gradient_boosting,context_plus_motion,classification,success,test,all,,
starting_hash,R,8616,0.5531388399935494,0.8138621563938462,0.2968817144734281,0.22092219561057824,0.009865366759517177,0.5017077354023399,0.022954091816367265,gradient_boosting,context_plus_motion,classification,success,test,all,,
box_bucket,light_box,5752,0.5640668783053122,0.7877004013312072,0.28506343717509613,0.20593267822658948,0.006084840055632823,0.4999852000947194,0.011966493817311527,gradient_boosting,context_plus_motion,classification,success,test,all,,
box_bucket,loaded_box,509,0.5854208494208494,0.8483572623250841,0.31432524637222126,0.26382940485498696,0.011787819253438114,0.49586100386100385,0.01509433962264151,gradient_boosting,context_plus_motion,classification,success,test,all,,
box_bucket,standard_box,13855,0.5447416064683943,0.8251729671218689,0.30224906403270735,0.22741946371993457,0.010754240346445327,0.5015043970029336,0.024158236448739243,gradient_boosting,context_plus_motion,classification,success,test,all,,
down_bucket,early_down,96,0.5104166666666667,0.7038622772065036,0.2550311564134106,0.0563593765225605,0.8645833333333334,0.5520833333333333,0.6717557251908397,gradient_boosting,context_plus_motion,classification,success,test,tracking_only,,
distance_bucket,long,92,0.5225439012814428,0.7059766334587781,0.2554766935605253,0.07166918878277741,0.7065217391304348,0.551969625059326,0.6491228070175439,gradient_boosting,context_plus_motion,classification,success,test,tracking_only,,
