evaluation_slice,task,target,model_name,group_column,group_value,dataset_split,n_obs_full,auroc_full,log_loss_full,brier_score_full,expected_calibration_error_full,rmse_full,mae_full,n_obs_context_plus_motion,auroc_context_plus_motion,log_loss_context_plus_motion,brier_score_context_plus_motion,expected_calibration_error_context_plus_motion,rmse_context_plus_motion,mae_context_plus_motion,improvement_auroc,improvement_log_loss,improvement_brier_score,improvement_expected_calibration_error,improvement_rmse,improvement_mae,candidate_feature_set,baseline_feature_set
all,classification,completion,logistic_regression,starting_hash,L,test,9159,0.5975642671956904,1.3259683402733855,0.4311317005669137,0.42788654900454276,,,9159,0.5991964895264634,1.3312997733240606,0.4319609326174465,0.4292888568093828,,,-0.001632222330772981,0.005331433050675072,0.0008292320505328132,0.0014023078048400195,,,full,context_plus_motion
all,classification,completion,logistic_regression,starting_hash,M,test,2114,0.5881354059230882,1.3607569114564393,0.43954233111867713,0.4407091089867346,,,2114,0.5890130027994696,1.3662277278033061,0.4402330712051336,0.4417527107189589,,,-0.0008775968763813369,0.005470816346866858,0.0006907400864564761,0.0010436017322242863,,,full,context_plus_motion
all,classification,completion,logistic_regression,starting_hash,R,test,8616,0.5951281739027225,1.3264569972664237,0.4324330556072299,0.43173302119466916,,,8616,0.5967618818179632,1.3309611063920277,0.43314829850112035,0.4327492885240869,,,-0.0016337079152406453,0.00450410912560395,0.0007152428938904665,0.0010162673294177305,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,box_bucket,light_box,test,5752,0.5760963850392385,0.29332813262460455,0.07421428208428503,0.04766183440225489,,,5752,0.5741148355318084,0.29545333758119197,0.07432539338602384,0.04805847699030068,,,0.001981549507430125,0.002125204956587412,0.00011111130173881156,0.0003966425880457883,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,box_bucket,loaded_box,test,509,0.7166259666259667,0.3664776903787229,0.09794215802844579,0.08016855893300905,,,509,0.7213064713064714,0.3681427920785125,0.09788222485615097,0.07952102084008472,,,-0.004680504680504738,0.0016651016997896173,-5.993317229481543e-05,-0.0006475380929243241,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,box_bucket,standard_box,test,13855,0.5721374464474202,0.3053113418327834,0.07763279253589776,0.05165367681577608,,,13855,0.5704365958151376,0.30833751961279604,0.07776168032599635,0.05230069091205369,,,0.0017008506322825356,0.003026177780012629,0.00012888779009859186,0.0006470140962776122,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,distance_bucket,long,test,13759,0.560110289757574,0.3232818710829859,0.08236497928415919,0.05527235092077597,,,13759,0.5570355584524584,0.3260391438776009,0.08246566526171788,0.05580621768711799,,,0.0030747313051155967,0.0027572727946150177,0.00010068597755868991,0.0005338667663420255,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,distance_bucket,medium,test,4319,0.6057774078492956,0.2732606442707039,0.06939480888564291,0.04455986462954364,,,4319,0.6055545861962184,0.27620441241370397,0.06956895773907068,0.045981722863667134,,,0.0002228216530771876,0.0029437681430000695,0.00017414885342777187,0.0014218582341234964,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,distance_bucket,short,test,2038,0.6305103108188883,0.23336664254991987,0.05856698725334249,0.0368321796413922,,,2038,0.6367179717075114,0.23550008603708014,0.05869302223446852,0.03751387228196339,,,-0.006207660888623123,0.002133443487160269,0.00012603498112603168,0.000681692640571184,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,down_bucket,early_down,test,14162,0.5716673705825159,0.3053874719451049,0.07769876978671664,0.05096080081083904,,,14162,0.5693472177849697,0.30797635177867394,0.07780412234765566,0.0516383182316715,,,0.002320152797546271,0.0025888798335690355,0.00010535256093902046,0.0006775174208324547,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,down_bucket,late_down,test,5954,0.5921301036215098,0.29878263800237376,0.07590955187280299,0.05116732553764743,,,5954,0.592523236194126,0.30186219672164716,0.07606110437308869,0.05175448646643084,,,-0.00039313257261619494,0.003079558719273401,0.000151552500285701,0.0005871609287834076,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,field_zone,backed_up,test,11014,0.5216598751250225,0.35323303116012045,0.09001107632286467,0.06081855740194509,,,11014,0.5198254951503245,0.3567509898594183,0.0901734204152595,0.0620683446737388,,,0.0018343799746980416,0.0035179586992978296,0.00016234409239482273,0.0012497872717937078,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,field_zone,red_zone,test,2754,0.9658966625791271,0.017253219526136686,0.0038118889535557073,0.00015971525704959737,,,2754,0.9705531435389256,0.017465035168431255,0.003803290740261928,0.0006474843520696518,,,-0.004656480959798537,0.00021181564229456884,-8.598213293779192e-06,0.0004877690950200544,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,field_zone,scoring_range,test,6348,0.4905869449488084,0.3411822987681415,0.086713218773161,0.0562993023724844,,,6348,0.49077662605876815,0.34365067800957405,0.08681245762011972,0.056694403669323296,,,-0.00018968110995976062,0.002468379241432561,9.923884695871299e-05,0.0003951012968388956,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,pressure_bucket,standard_rush,test,20115,0.5777061190907598,0.3034459709219772,0.07717297361365201,0.05102610299302185,,,20115,0.5762315125664252,0.3061803847921926,0.07729201654004919,0.05164601581478974,,,0.0014746065243345097,0.002734413870215391,0.00011904292639718095,0.0006199128217678901,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,qb_location,0,test,225,0.5796019900497513,0.37857474894172505,0.09972913619741933,0.07097848611318754,,,225,0.6196102819237148,0.383259131154302,0.10004714226287385,0.07472505391029122,,,-0.040008291873963486,0.004684382212576943,0.00031800606545452637,0.003746567797103681,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,qb_location,P,test,666,0.5792071389086314,0.3456162953478187,0.08906784568207696,0.0632617416004421,,,666,0.5870778383216194,0.34933700028729364,0.08934062040498196,0.06496121811117471,,,-0.007870699412988014,0.0037207049394749614,0.00027277472290500315,0.0016994765107326143,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,qb_location,S,test,16342,0.5705163224673018,0.2821087506262244,0.07106399498916573,0.04474400619456471,,,16342,0.5676122707176321,0.2847982711821153,0.07120069479111055,0.04542321331844726,,,0.0029040517496696783,0.0026895205558908897,0.00013669980194482012,0.0006792071238825512,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,qb_location,U,test,2883,0.5755231516101081,0.4086951891798176,0.10726652882015986,0.08254969560313083,,,2883,0.5820472646559604,0.41130194894591865,0.10723433286495875,0.08231241982107883,,,-0.006524113045852209,0.00260675976610103,-3.2195955201111404e-05,-0.00023727578205200162,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,score_state,leading_big,test,2264,0.5767848968974334,0.35292164399929443,0.09097244189175667,0.06644396387154766,,,2264,0.5832401111967043,0.3553644076759192,0.09097172055265305,0.066780949689063,,,-0.006455214299270873,0.0024427636766247707,-7.213391036153816e-07,0.0003369858175153312,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,score_state,one_score,test,12762,0.5667897763948945,0.30470471294183954,0.07766486873505753,0.05108256828712595,,,12762,0.5672207877294769,0.30817025402508785,0.07784216487210735,0.05216405100694186,,,-0.000431011334582454,0.0034655410832483136,0.00017729613704982328,0.00108148271981591,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,score_state,trailing_big,test,5090,0.5918644892082434,0.2782304628240767,0.06978679495685829,0.04455529236460636,,,5090,0.5939968315294415,0.27926027747029786,0.06981298874181316,0.04456206108282678,,,-0.0021323423211980774,0.00102981464622115,2.619378495487268e-05,6.768718220417913e-06,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,starting_hash,0,test,227,0.5737623762376237,0.3898097202806689,0.10293354998121956,0.07442502999096505,,,227,0.6136633663366337,0.39523658075015516,0.10330073297778317,0.07826068592934671,,,-0.039900990099009936,0.005426860469486261,0.0003671829965636031,0.0038356559383816574,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,starting_hash,L,test,9159,0.5798385605232959,0.3074090473957799,0.07834313472456075,0.05215172617489558,,,9159,0.5808963181584753,0.3096794104473498,0.07838417774093243,0.05286767600366694,,,-0.001057757635179457,0.0022703630515699125,4.10430163716724e-05,0.0007159498287713575,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,starting_hash,M,test,2114,0.5903649921507064,0.31665455659915087,0.08105005156377304,0.056331142868044144,,,2114,0.5881737310308739,0.3197702629523172,0.08119776077544773,0.05671290892304305,,,0.002191261119832477,0.0031157063531663254,0.00014770921167468753,0.00038176605499890687,,,full,context_plus_motion
all,classification,explosive,gradient_boosting,starting_hash,R,test,8616,0.5699070079249879,0.2936856081825027,0.07429026854414403,0.0479749668874294,,,8616,0.5661719402062148,0.29674812594841077,0.07447861879415228,0.04882562719623138,,,0.0037350677187731884,0.003062517765908046,0.000188350250008254,0.0008506603088019801,,,full,context_plus_motion
all,classification,explosive,logistic_regression,box_bucket,light_box,test,5752,0.575907914509935,0.3788020033095926,0.11080856443352918,0.17313682133525665,,,5752,0.5753911337451996,0.3846000726663807,0.11319649307884178,0.17926619093403734,,,0.0005167807647353806,0.00579806935678806,0.0023879286453125925,0.006129369598780687,,,full,context_plus_motion
all,classification,explosive,logistic_regression,box_bucket,loaded_box,test,509,0.7014652014652014,0.3558212112475058,0.11409240809531598,0.12769366154992673,,,509,0.7072446072446072,0.367733350602765,0.1198567859947061,0.14193051973782625,,,-0.005779405779405833,0.0119121393552592,0.005764377899390119,0.01423685818789952,,,full,context_plus_motion
all,classification,explosive,logistic_regression,box_bucket,standard_box,test,13855,0.6041319480376126,0.3752582433688567,0.11020229488118155,0.16643756759426023,,,13855,0.6140922104711247,0.3816147825193638,0.11311039816068187,0.17324911585384267,,,-0.009960262433512113,0.006356539150507101,0.002908103279500321,0.0068115482595824395,,,full,context_plus_motion
all,classification,explosive,logistic_regression,distance_bucket,long,test,13759,0.5835545652258315,0.3880471992569363,0.1137599196300849,0.1667431909910993,,,13759,0.5904110202567805,0.39824708253488705,0.11816528158882804,0.17765076915581937,,,-0.006856455030949005,0.010199883277950739,0.004405361958743137,0.010907578164720072,,,full,context_plus_motion
all,classification,explosive,logistic_regression,distance_bucket,medium,test,4319,0.6321839351482884,0.3614376685927848,0.10718191155270407,0.17257191425318258,,,4319,0.6392427050470088,0.3615655203463467,0.10748370427347272,0.17257843054278346,,,-0.007058769898720341,0.0001278517535618917,0.00030179272076864827,6.5162896008830185e-06,,,full,context_plus_motion
all,classification,explosive,logistic_regression,distance_bucket,short,test,2038,0.6566007504815037,0.32335347213387783,0.09526755826029401,0.16029104698874602,,,2038,0.6634289699143254,0.3167740992474158,0.09283595222729972,0.1538382091660327,,,-0.006828219432821747,-0.006579372886462043,-0.0024316060329942907,-0.006452837822713331,,,full,context_plus_motion
all,classification,explosive,logistic_regression,down_bucket,early_down,test,14162,0.6049509517370896,0.37612714158637306,0.11028236880181742,0.1669663780278789,,,14162,0.6152837110575453,0.3855260311835781,0.11440921124651535,0.17703081728830547,,,-0.010332759320455742,0.009398889597205029,0.004126842444697923,0.010064439260426578,,,full,context_plus_motion
all,classification,explosive,logistic_regression,down_bucket,late_down,test,5954,0.5887310893127806,0.37495339306198394,0.11093009522163384,0.16817680998700002,,,5954,0.5902269759106205,0.3740089102481999,0.11068099581859257,0.16729509744249135,,,-0.001495886597839835,-0.0009444828137840644,-0.00024909940304126965,-0.0008817125445086671,,,full,context_plus_motion
all,classification,explosive,logistic_regression,field_zone,backed_up,test,11014,0.5444784140902691,0.4270759626658683,0.12641572292068629,0.1871837338633435,,,11014,0.5536008445329547,0.435390635774896,0.1300277055456564,0.19620538499548346,,,-0.00912243044268557,0.008314673109027726,0.003611982624970117,0.009021651132139957,,,full,context_plus_motion
all,classification,explosive,logistic_regression,field_zone,red_zone,test,2754,0.6416001060550823,0.04003424324486284,0.005032745386360072,0.02180666390850003,,,2754,0.6405726974447354,0.03846109237952216,0.004957634592029396,0.020037029246799284,,,0.0010274086103468916,-0.0015731508653406834,-7.511079433067652e-05,-0.0017696346617007454,,,full,context_plus_motion
all,classification,explosive,logistic_regression,field_zone,scoring_range,test,6348,0.51997192066012,0.43243795254238204,0.12855919043454186,0.19610969340877407,,,6348,0.5281420222828515,0.4387766846883595,0.13129795592796817,0.20291681697721212,,,-0.008170101622731463,0.006338732145977466,0.002738765493426304,0.006807123568438045,,,full,context_plus_motion
all,classification,explosive,logistic_regression,pressure_bucket,standard_rush,test,20115,0.6009132770968818,0.3757737674370412,0.11047198122019777,0.16731353152047315,,,20115,0.608396638760283,0.3821144661804781,0.11330514144171938,0.17414028940470966,,,-0.0074833616634012445,0.006340698743436901,0.002833160221521608,0.006826757884236506,,,full,context_plus_motion
