evaluation_slice,task,target,model_name,group_column,group_value,dataset_split,n_obs_context_plus_motion,auroc_context_plus_motion,log_loss_context_plus_motion,brier_score_context_plus_motion,expected_calibration_error_context_plus_motion,rmse_context_plus_motion,mae_context_plus_motion,n_obs_context_only,auroc_context_only,log_loss_context_only,brier_score_context_only,expected_calibration_error_context_only,rmse_context_only,mae_context_only,improvement_auroc,improvement_log_loss,improvement_brier_score,improvement_expected_calibration_error,improvement_rmse,improvement_mae,candidate_feature_set,baseline_feature_set
all,classification,completion,logistic_regression,score_state,leading_big,test,2264,0.6115503681392236,1.2664845683852917,0.4171690414820817,0.41447228527071084,,,2264,0.5617526194521676,0.8627782915815019,0.3260206670330067,0.2938086533454491,,,0.049797748687056,-0.4037062768037898,-0.09114837444907503,-0.12066363192526175,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,score_state,one_score,test,12762,0.5972856330632892,1.348353155605113,0.4375313452462288,0.4379710550629951,,,12762,0.574248894296185,0.9070033386693218,0.3431405288990013,0.32255541115864245,,,0.023036738767104215,-0.4413498169357911,-0.09439081634722746,-0.11541564390435266,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,score_state,trailing_big,test,5090,0.587213760990427,1.3345794384458984,0.4315981041277164,0.42763413277014983,,,5090,0.5611743618421382,0.9089661582676,0.3411408482120473,0.3104384847619719,,,0.02603939914828879,-0.42561328017829847,-0.09045725591566905,-0.11719564800817794,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,starting_hash,0,test,227,0.5177830940988836,1.4047244194775546,0.4673632321646834,0.4752691599761399,,,227,0.48971291866028704,0.9159770857131759,0.3469768101008781,0.3168107657984401,,,0.028070175438596523,-0.4887473337643786,-0.12038642206380529,-0.1584583941776998,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,starting_hash,L,test,9159,0.5991964895264634,1.3312997733240606,0.4319609326174465,0.4292888568093828,,,9159,0.569657622039681,0.902973547126061,0.340904952009415,0.3164346162597344,,,0.029538867486782472,-0.42832622619799954,-0.0910559806080315,-0.11285424054964838,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,starting_hash,M,test,2114,0.5890130027994696,1.3662277278033061,0.4402330712051336,0.4417527107189589,,,2114,0.5697086341535287,0.9122563876527282,0.344697608856594,0.3249068068099839,,,0.019304368645940873,-0.45397134015057794,-0.0955354623485396,-0.11684590390897498,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,starting_hash,R,test,8616,0.5967618818179632,1.3309611063920277,0.43314829850112035,0.4327492885240869,,,8616,0.571740134711823,0.8993004742035909,0.3393540158891751,0.31375098689774317,,,0.025021747106140246,-0.43166063218843675,-0.09379428261194528,-0.11899830162634373,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,box_bucket,light_box,test,5752,0.5741148355318084,0.29545333758119197,0.07432539338602384,0.04805847699030068,,,5752,0.5899179746201368,0.29076855417706926,0.07404801043615218,0.04655914725142971,,,-0.015803139088328422,-0.0046847834041227054,-0.0002773829498716601,-0.001499329738870965,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,box_bucket,loaded_box,test,509,0.7213064713064714,0.3681427920785125,0.09788222485615097,0.07952102084008472,,,509,0.7382783882783883,0.3595035566429482,0.09752019757634768,0.07953113956259274,,,-0.01697191697191691,-0.00863923543556433,-0.0003620272798032925,1.0118722508015154e-05,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,box_bucket,standard_box,test,13855,0.5704365958151376,0.30833751961279604,0.07776168032599635,0.05230069091205369,,,13855,0.588452511538382,0.30185290739554266,0.07739547139069052,0.05010675279778337,,,-0.018015915723244347,-0.006484612217253383,-0.00036620893530583953,-0.002193938114270322,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,distance_bucket,long,test,13759,0.5570355584524584,0.3260391438776009,0.08246566526171788,0.05580621768711799,,,13759,0.5769886323357172,0.31975443063866876,0.08212831999502052,0.05405438233454813,,,-0.019953073883258732,-0.006284713238932149,-0.0003373452666973614,-0.0017518353525698624,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,distance_bucket,medium,test,4319,0.6055545861962184,0.27620441241370397,0.06956895773907068,0.045981722863667134,,,4319,0.6254065414463994,0.2705577711789051,0.06921291401672992,0.04367695870898233,,,-0.01985195525018102,-0.005646641234798855,-0.000356043722340757,-0.0023047641546848005,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,distance_bucket,short,test,2038,0.6367179717075114,0.23550008603708014,0.05869302223446852,0.03751387228196339,,,2038,0.6400656671315668,0.23043171788217415,0.05836215027643845,0.03551366469799709,,,-0.0033476954240553303,-0.0050683681549059945,-0.0003308719580300684,-0.002000207583966296,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,down_bucket,early_down,test,14162,0.5693472177849697,0.30797635177867394,0.07780412234765566,0.0516383182316715,,,14162,0.5880188576912945,0.30222234424278765,0.07748573066169707,0.04982419006601867,,,-0.01867163990632481,-0.005754007535886285,-0.0003183916859585828,-0.00181412816565283,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,down_bucket,late_down,test,5954,0.592523236194126,0.30186219672164716,0.07606110437308869,0.05175448646643084,,,5954,0.6098672081295697,0.29519436122886245,0.07566732870039829,0.049569762327265156,,,-0.01734397193544379,-0.006667835492784713,-0.00039377567269040237,-0.002184724139165685,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,field_zone,backed_up,test,11014,0.5198254951503245,0.3567509898594183,0.0901734204152595,0.0620683446737388,,,11014,0.5360706641213785,0.3495791003258484,0.08977097836720015,0.059344499678749225,,,-0.01624516897105399,-0.007171889533569897,-0.000402442048059351,-0.002723844994989573,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,field_zone,red_zone,test,2754,0.9705531435389256,0.017465035168431255,0.003803290740261928,0.0006474843520696518,,,2754,0.9674377754946476,0.016994294493320936,0.003801891074167284,0.0002300525110490008,,,0.003115368044278033,-0.0004707406751103191,-1.3996660946443036e-06,-0.000417431841020651,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,field_zone,scoring_range,test,6348,0.49077662605876815,0.34365067800957405,0.08681245762011972,0.056694403669323296,,,6348,0.5179209286739612,0.33720755637988425,0.08643166807790267,0.05475673964348672,,,-0.027144302615193072,-0.006443121629689796,-0.00038078954221704153,-0.0019376640258365746,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,pressure_bucket,standard_rush,test,20115,0.5762315125664252,0.3061803847921926,0.07729201654004919,0.05164601581478974,,,20115,0.5942080082042176,0.30015517894686844,0.07695126800761859,0.04971743047493215,,,-0.017976495637792356,-0.0060252058453241775,-0.00034074853243060144,-0.00192858533985759,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,qb_location,0,test,225,0.6196102819237148,0.383259131154302,0.10004714226287385,0.07472505391029122,,,225,0.5691334991708126,0.38292176378172343,0.10007832533222766,0.0729819294073569,,,0.05047678275290224,-0.0003373673725785564,3.118306935380455e-05,-0.0017431245029343179,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,qb_location,P,test,666,0.5870778383216194,0.34933700028729364,0.08934062040498196,0.06496121811117471,,,666,0.6315512385164126,0.3416263668835332,0.08878498179262916,0.062302640305417434,,,-0.04447340019479318,-0.007710633403760436,-0.0005556386123528045,-0.0026585778057572756,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,qb_location,S,test,16342,0.5676122707176321,0.2847982711821153,0.07120069479111055,0.04542321331844726,,,16342,0.5890540246390132,0.27908721915140733,0.07085994410605767,0.04339929548676809,,,-0.021441753921381146,-0.005711052030707986,-0.0003407506850528763,-0.00202391783167917,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,qb_location,U,test,2883,0.5820472646559604,0.41130194894591865,0.10723433286495875,0.08231241982107883,,,2883,0.5672322520148607,0.403446470119801,0.10691452135216392,0.08077781139324948,,,0.014815012641099634,-0.007855478826117646,-0.00031981151279482367,-0.0015346084278293481,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,score_state,leading_big,test,2264,0.5832401111967043,0.3553644076759192,0.09097172055265305,0.066780949689063,,,2264,0.5788927219747463,0.3503053404817919,0.09078540046768703,0.06547687764135889,,,0.004347389221957987,-0.005059067194127298,-0.00018632008496602404,-0.001304072047704108,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,score_state,one_score,test,12762,0.5672207877294769,0.30817025402508785,0.07784216487210735,0.05216405100694186,,,12762,0.5890176118299734,0.30096024082130257,0.07741745170368496,0.049709846144944475,,,-0.021796824100496437,-0.0072100132037852815,-0.00042471316842239426,-0.0024542048619973847,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,score_state,trailing_big,test,5090,0.5939968315294415,0.27926027747029786,0.06981298874181316,0.04456206108282678,,,5090,0.6078856890746442,0.27577881762490464,0.06961424900036432,0.04348355743869793,,,-0.013888857545202749,-0.00348145984539322,-0.00019873974144883622,-0.001078503644128849,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,starting_hash,0,test,227,0.6136633663366337,0.39523658075015516,0.10330073297778317,0.07826068592934671,,,227,0.5834653465346534,0.3938118513246259,0.10325666064763672,0.07647027622514199,,,0.030198019801980225,-0.001424729425529292,-4.407233014644407e-05,-0.0017904097042047151,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,starting_hash,L,test,9159,0.5808963181584753,0.3096794104473498,0.07838417774093243,0.05286767600366694,,,9159,0.5949360948526947,0.30428992891711354,0.07814331501887188,0.050990744233616464,,,-0.014039776694219408,-0.005389481530236273,-0.0002408627220605447,-0.0018769317700504731,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,starting_hash,M,test,2114,0.5881737310308739,0.3197702629523172,0.08119776077544773,0.05671290892304305,,,2114,0.605164892043774,0.31278534666014,0.08077917873636568,0.05496466921843485,,,-0.016991161012900102,-0.006984916292177179,-0.00041858203908204383,-0.0017482397046082038,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,starting_hash,R,test,8616,0.5661719402062148,0.29674812594841077,0.07447861879415228,0.04882562719623138,,,8616,0.5904753357696187,0.2901630796054941,0.07404307389038847,0.046486451565686905,,,-0.024303395563403996,-0.006585046342916678,-0.00043554490376380983,-0.0023391756305444766,,,context_plus_motion,context_only
all,classification,explosive,logistic_regression,box_bucket,light_box,test,5752,0.5753911337451996,0.3846000726663807,0.11319649307884178,0.17926619093403734,,,5752,0.5726774085824011,0.44214078424352105,0.13743134783500255,0.2334917839019758,,,0.0027137251627984416,0.05754071157714036,0.024234854756160773,0.05422559296793847,,,context_plus_motion,context_only
all,classification,explosive,logistic_regression,box_bucket,loaded_box,test,509,0.7072446072446072,0.367733350602765,0.1198567859947061,0.14193051973782625,,,509,0.7251119251119251,0.3846372524489885,0.1268793830881637,0.16559776693373585,,,-0.017867317867317878,0.01690390184622348,0.007022597093457608,0.023667247195909596,,,context_plus_motion,context_only
all,classification,explosive,logistic_regression,box_bucket,standard_box,test,13855,0.6140922104711247,0.3816147825193638,0.11311039816068187,0.17324911585384267,,,13855,0.5976771460700513,0.4459304152145236,0.14034133468680732,0.23347054338918408,,,0.01641506440107343,0.06431563269515977,0.027230936526125446,0.060221427535341404,,,context_plus_motion,context_only
all,classification,explosive,logistic_regression,distance_bucket,long,test,13759,0.5904110202567805,0.39824708253488705,0.11816528158882804,0.17765076915581937,,,13759,0.580600978672031,0.45294307468982953,0.1409815976523436,0.2311499637169797,,,0.009810041584749518,0.054695992154942474,0.02281631606351557,0.05349919456116034,,,context_plus_motion,context_only
all,classification,explosive,logistic_regression,distance_bucket,medium,test,4319,0.6392427050470088,0.3615655203463467,0.10748370427347272,0.17257843054278346,,,4319,0.6221636414795673,0.4357219655075279,0.13958117658336142,0.2382380466974966,,,0.017079063567441488,0.0741564451611812,0.0320974723098887,0.06565961615471314,,,context_plus_motion,context_only
all,classification,explosive,logistic_regression,distance_bucket,short,test,2038,0.6634289699143254,0.3167740992474158,0.09283595222729972,0.1538382091660327,,,2038,0.649814039981404,0.3942164482718916,0.12605446862727734,0.22149385906965358,,,0.01361492993292146,0.07744234902447583,0.033218516399977624,0.06765564990362088,,,context_plus_motion,context_only
all,classification,explosive,logistic_regression,down_bucket,early_down,test,14162,0.6152837110575453,0.3855260311835781,0.11440921124651535,0.17703081728830547,,,14162,0.5996625160359284,0.4416116544525477,0.13787832880684103,0.23018860083132955,,,0.015621195021616963,0.0560856232689696,0.023469117560325686,0.053157783543024084,,,context_plus_motion,context_only
all,classification,explosive,logistic_regression,down_bucket,late_down,test,5954,0.5902269759106205,0.3740089102481999,0.11068099581859257,0.16729509744249135,,,5954,0.5837713653825989,0.4473019490939725,0.14223765842493152,0.2352730927576549,,,0.006455610528021571,0.0732930388457726,0.03155666260633895,0.06797799531516355,,,context_plus_motion,context_only
